util_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.28135546056121435,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_linear
0.28135546056121435,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_max
0.28804941671832,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_min
0.2516706075426004,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_linear
0.24973339328089023,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_max
0.25400766727146235,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_min
0.2809068053859836,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_linear
0.2809068053859836,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_max
0.2825274310975033,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_min
0.2537107258505485,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_linear
0.25306982077812623,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_max
0.2563301666861651,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_min
0.28106565554093305,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_linear
0.28106565522049853,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_max
0.2817877932099207,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_min
0.25851962940172046,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_9_linear
0.2573240269760257,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_9_max
0.2540896450640819,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_9_min
