diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.4196089,1.5538776,1.11373285,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_9_linear
0.41807275,1.56089075,1.1180075,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_9_max
0.55138085,1.70846185,1.12513905,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_9_min
0.38158715,1.5270665,1.1193382,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_99_linear
0.38158715,1.5270665,1.1193382,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_99_max
0.4038937,1.50292905,1.0961161,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_99_min
0.39978815,1.53880955,1.11610925,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_9_linear
0.40147655,1.5537798,1.12275015,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_9_max
0.41077825,1.5612189,1.12181885,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_9_min
0.37634735,1.53625165,1.12655055,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_99_linear
