diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.46738045,0.21944725000000004,0.15370575,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_ind_9_min
0.50070005,0.2931272,0.17388595,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_linear
0.50070005,0.2931272,0.17388595,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_max
0.5617815,0.34979385,0.17167870000000002,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_99_min
0.48982485000000003,0.23477005,0.1501451,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_linear
0.49141045000000005,0.23505375,0.1494942,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_max
0.62358735,0.35951885000000006,0.14563814999999997,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_none_9_min
0.47612619999999994,0.27194065,0.1755796,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_linear
0.47612619999999994,0.27194065,0.1755796,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_max
0.48480375000000003,0.27138245,0.17096190000000006,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_99_min
0.4656393,0.21712155000000002,0.1534136,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_linear
0.47004049999999997,0.21841895,0.1518617,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_max
0.46889985,0.2213407,0.1538928,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_author_one_9_min
0.46991640000000007,0.26564560000000004,0.17553705000000003,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_linear
0.46991640000000007,0.26564560000000004,0.17553705000000003,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_max
0.49093739999999997,0.26603699999999997,0.16522225,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_99_min
0.45914659999999996,0.21101925000000002,0.15360880000000002,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_linear
0.46057455,0.21146335,0.15311690000000003,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_max
0.46348465,0.21640264999999997,0.1541314,ac,lm_mrfr_err_aug0.5_mpt_15_0.1,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.1_doc_9_min
0.47781075,0.28246435,0.17999919999999997,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_ind_99_linear
