augmentation,feature_method,num_features,balancing_factor,val_metric,difference,disparity,relevance,difference_ind,disparity_ind,relevance_ind,util,qid,fm_yes_no
aug0.7,msd,15,0.1,ndcg,0.9801097000000001,2.14855275,1.13081995,1.4702467499999998,1.26476885,0.17493350000000002,0.27113481925588523,39200.95,1.0
aug0.7,msd,15,0.5,err,0.8158704,2.13171875,1.20452265,1.4906213,1.2670173999999998,0.16587069999999998,0.2599616655258033,39200.95,1.0
aug0.7,msd,15,0.5,ndcg,0.78061775,1.9338956,1.12323745,1.43134075,1.25762715,0.19081565,0.2824083944583965,39200.95,1.0
aug0.7,msd,15,0.9,err,0.9253493,2.18311575,1.1754816,1.47926505,1.2668704,0.1714752,0.2651760537674715,39200.95,1.0
aug0.7,msd,15,0.9,ndcg,0.9210575499999999,2.12058325,1.1463614,1.4261640999999998,1.2521765500000002,0.1906787,0.30848411540672804,39200.95,1.0
aug0.7,msd,20,0.1,err,1.0128945,2.4104405499999997,1.24537165,1.57829515,1.2941121,0.1355808,0.20743254470851094,39200.95,1.0
aug0.7,msd,20,0.1,ndcg,0.8924258999999999,2.2098342,1.2053027,1.5299163500000001,1.2795197,0.15247415,0.2330642492261447,39200.95,1.0
aug0.7,msd,20,0.5,err,1.02176145,2.29216495,1.18180025,1.5289880500000002,1.27748465,0.15192075,0.23641592731240882,39200.95,1.0
aug0.7,msd,20,0.5,ndcg,0.7755639000000001,1.9116241500000002,1.11462855,1.4187967499999998,1.254099,0.19532365000000002,0.30330488150514384,39200.95,1.0
aug0.7,msd,20,0.9,err,0.923754,2.21616375,1.19280325,1.5259623,1.2766042499999999,0.15299354999999998,0.2472192441168298,39200.95,1.0
aug0.7,msd,20,0.9,ndcg,0.78676695,1.96307115,1.1347505999999998,1.4078048,1.2539315,0.20073585,0.30586774166700964,39200.95,1.0
